what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1302806967060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302806968285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302806983482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302806985830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302806988418
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1302806989816
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1302806989838
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1302806990097
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1302806990182
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1302806991452
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1302806991479
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1302806991868
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1302806991912
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1302806992227
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1302806992552
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1302806993583
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1302806993810
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1302806994208
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1302806994956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302806994995
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1302806995033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302806995440
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1302806995795
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1302807002880
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1302807003008
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1302807003051
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1302807003097
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1302807003131
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1302807003141
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1302807003152
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1302807003322
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1302807003327
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1302807003367
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1302807003389
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1302807003750
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1302807004127
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.active.elements",1302807004780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302807011120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302807013316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302807016187
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1302807017737
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1302807017738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302807018526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302807346430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302807357424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302807671130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302807671581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302809245803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302809249750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302809254519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302809254644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302809256687
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302809256832
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1302809258021
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1302809258652
